A0A0H2VCA1	PGA_scaffold53906__1_contigs__length_4067:460-2508	GO:0009279; GO:0009405; GO:0009986; GO:0016021
A0A0R4I9Y1	PGA_scaffold283088__1_contigs__length_1068:150-520	GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4I9Y1	PGA_scaffold283089__1_contigs__length_1038:152-480	GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4I9Y1	PGA_scaffold283090__1_contigs__length_1068:548-918	GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4I9Y1	PGA_scaffold283091__1_contigs__length_1038:558-886	GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4I9Y1	PGA_scaffold283642__1_contigs__length_1068:150-520	GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4I9Y1	PGA_scaffold283643__1_contigs__length_1038:152-480	GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4I9Y1	PGA_scaffold283644__1_contigs__length_1068:548-918	GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4I9Y1	PGA_scaffold283645__1_contigs__length_1038:558-886	GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4I9Y1	PGA_scaffold3__111_contigs__length_57743597:18027636-18027997	GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4I9Y1	PGA_scaffold3__111_contigs__length_57743597:43479309-43479814	GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4I9Y1	PGA_scaffold3__111_contigs__length_57743597:43480115-43485193	GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4I9Y1	PGA_scaffold3__111_contigs__length_57743597:43498601-43500957	GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4I9Y1	PGA_scaffold4__129_contigs__length_65288255:19333597-19344615	GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4I9Y1	PGA_scaffold4__129_contigs__length_65288255:19363871-19370253	GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4I9Y1	PGA_scaffold68845__1_contigs__length_27874:17914-20686	GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4I9Y1	PGA_scaffold68845__1_contigs__length_27874:9579-15264	GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4IBK5	PGA_scaffold109922__1_contigs__length_7520:418-6393	GO:0002040; GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4IBK5	PGA_scaffold109923__1_contigs__length_7520:1127-7102	GO:0002040; GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4IBK5	PGA_scaffold109926__1_contigs__length_6624:416-6381	GO:0002040; GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4IBK5	PGA_scaffold109929__1_contigs__length_6624:243-6208	GO:0002040; GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4IBK5	PGA_scaffold290060__1_contigs__length_49220:39966-48597	GO:0002040; GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4IBK5	PGA_scaffold290061__1_contigs__length_48647:39855-48024	GO:0002040; GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4IBK5	PGA_scaffold290062__1_contigs__length_49220:623-9254	GO:0002040; GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4IBK5	PGA_scaffold290063__1_contigs__length_48647:623-8792	GO:0002040; GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4IBK5	PGA_scaffold290069__1_contigs__length_1321:923-1181	GO:0002040; GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4IBK5	PGA_scaffold290072__1_contigs__length_1321:923-1181	GO:0002040; GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4IBK5	PGA_scaffold290078__1_contigs__length_1321:140-398	GO:0002040; GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4IBK5	PGA_scaffold290081__1_contigs__length_1321:140-398	GO:0002040; GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4IBK5	PGA_scaffold3__111_contigs__length_57743597:18158979-18174513	GO:0002040; GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4IBK5	PGA_scaffold3__111_contigs__length_57743597:18255601-18321220	GO:0002040; GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4IBK5	PGA_scaffold3__111_contigs__length_57743597:18392157-18395143	GO:0002040; GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4IBK5	PGA_scaffold3__111_contigs__length_57743597:18604605-18606011	GO:0002040; GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4IBK5	PGA_scaffold3__111_contigs__length_57743597:19062908-19066234	GO:0002040; GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A0R4IBK5	PGA_scaffold55780__1_contigs__length_1355:454-766	GO:0002040; GO:0004842; GO:0005829; GO:0016887; GO:0046872
A0A159BP93	PGA_scaffold4__129_contigs__length_65288255:1081761-1082754	GO:0016491; GO:0046872
A0A1F4	PGA_scaffold6136__1_contigs__length_9993:1916-8602	GO:0000902; GO:0005201; GO:0005509; GO:0005576; GO:0005615; GO:0009986; GO:0010378; GO:0016021; GO:0042052; GO:0097730
A0AUT1	PGA_scaffold6__104_contigs__length_61759565:47764032-47784952	GO:0005737; GO:0005856
A0AVF1	PGA_scaffold224545__1_contigs__length_16902:9706-15941	GO:0005813; GO:0005929; GO:0007224; GO:0007286; GO:0030992; GO:0035735; GO:0036064; GO:0042073; GO:0060271; GO:0097542
A0AVF1	PGA_scaffold224546__1_contigs__length_16902:961-7196	GO:0005813; GO:0005929; GO:0007224; GO:0007286; GO:0030992; GO:0035735; GO:0036064; GO:0042073; GO:0060271; GO:0097542
A0AVF1	PGA_scaffold224547__1_contigs__length_16266:9736-15307	GO:0005813; GO:0005929; GO:0007224; GO:0007286; GO:0030992; GO:0035735; GO:0036064; GO:0042073; GO:0060271; GO:0097542
A0AVF1	PGA_scaffold224550__1_contigs__length_16266:959-6530	GO:0005813; GO:0005929; GO:0007224; GO:0007286; GO:0030992; GO:0035735; GO:0036064; GO:0042073; GO:0060271; GO:0097542
A0AVF1	PGA_scaffold227023__1_contigs__length_16902:9706-15941	GO:0005813; GO:0005929; GO:0007224; GO:0007286; GO:0030992; GO:0035735; GO:0036064; GO:0042073; GO:0060271; GO:0097542
A0AVF1	PGA_scaffold227024__1_contigs__length_16902:961-7196	GO:0005813; GO:0005929; GO:0007224; GO:0007286; GO:0030992; GO:0035735; GO:0036064; GO:0042073; GO:0060271; GO:0097542
A0AVF1	PGA_scaffold227025__1_contigs__length_16266:9736-15307	GO:0005813; GO:0005929; GO:0007224; GO:0007286; GO:0030992; GO:0035735; GO:0036064; GO:0042073; GO:0060271; GO:0097542
A0AVF1	PGA_scaffold227028__1_contigs__length_16266:959-6530	GO:0005813; GO:0005929; GO:0007224; GO:0007286; GO:0030992; GO:0035735; GO:0036064; GO:0042073; GO:0060271; GO:0097542
A0JM12	PGA_scaffold20387__1_contigs__length_5076:41-4987	GO:0005886; GO:0006909; GO:0007155; GO:0014719; GO:0014816; GO:0014841; GO:0016021; GO:0030239
A0JM12	PGA_scaffold20556__1_contigs__length_17954:4-805	GO:0005886; GO:0006909; GO:0007155; GO:0014719; GO:0014816; GO:0014841; GO:0016021; GO:0030239
A0JM12	PGA_scaffold52390__1_contigs__length_35773:27370-34607	GO:0005886; GO:0006909; GO:0007155; GO:0014719; GO:0014816; GO:0014841; GO:0016021; GO:0030239
A0JM12	PGA_scaffold528__1_contigs__length_6391:213-876	GO:0005886; GO:0006909; GO:0007155; GO:0014719; GO:0014816; GO:0014841; GO:0016021; GO:0030239
A0JM13	PGA_scaffold4__129_contigs__length_65288255:25786246-25806731	GO:0005814; GO:0005929; GO:0034451; GO:0061511; GO:0071539; GO:1905515
A0JM23	PGA_scaffold72006__1_contigs__length_8176:5983-8174	GO:0005929; GO:0016055; GO:0060271; GO:0090090; GO:2000095
A0JMU5	PGA_scaffold4__129_contigs__length_65288255:4055010-4085383	GO:0005737; GO:0006397; GO:0016274
A0JNB1	PGA_scaffold464__1_contigs__length_37366:14478-17478	GO:0003677; GO:0003700; GO:0005634; GO:0006351; GO:0006355; GO:0046872
A0JNC4	PGA_scaffold16235__1_contigs__length_4626:1785-3353	GO:0005783; GO:0009922; GO:0019367; GO:0030148; GO:0030176; GO:0034625; GO:0034626; GO:0042761; GO:0102336; GO:0102337; GO:0102338
A0JNG7	PGA_scaffold12__71_contigs__length_50438331:42801765-42801930	
A0JNG7	PGA_scaffold12__71_contigs__length_50438331:42808273-42830085	
A0JPA0	PGA_scaffold12__71_contigs__length_50438331:12522230-12523097	GO:0005886; GO:0006811; GO:0016021
A0JPE9	PGA_scaffold307204__1_contigs__length_16415:3713-15262	GO:0004370; GO:0005524; GO:0005739; GO:0006071; GO:0006641; GO:0019563; GO:0046167
A0JPE9	PGA_scaffold307206__1_contigs__length_16415:1153-12702	GO:0004370; GO:0005524; GO:0005739; GO:0006071; GO:0006641; GO:0019563; GO:0046167
A0JPQ7	PGA_scaffold65427__1_contigs__length_16157:10372-15838	
A0KDV2	PGA_scaffold6__104_contigs__length_61759565:4183205-4184489	GO:0009063; GO:0046872; GO:0050032
A0QV10	PGA_scaffold64348__1_contigs__length_27043:7957-9338	GO:0016491
A0RQR9	PGA_scaffold4__129_contigs__length_65288255:27415505-27416831	GO:0005524; GO:0005975; GO:0016301; GO:0016773; GO:0016779; GO:0097171
A0RQR9	PGA_scaffold4__129_contigs__length_65288255:27417183-27420580	GO:0005524; GO:0005975; GO:0016301; GO:0016773; GO:0016779; GO:0097171
A1A4R8	PGA_scaffold296682__1_contigs__length_45988:2774-3934	GO:0005680; GO:0007080; GO:0030071; GO:0051301; GO:0070979
A1A4R8	PGA_scaffold296683__1_contigs__length_45988:42054-43214	GO:0005680; GO:0007080; GO:0030071; GO:0051301; GO:0070979
A1A4R8	PGA_scaffold296686__1_contigs__length_25146:2774-3934	GO:0005680; GO:0007080; GO:0030071; GO:0051301; GO:0070979
A1A4R8	PGA_scaffold296687__1_contigs__length_25146:21212-22372	GO:0005680; GO:0007080; GO:0030071; GO:0051301; GO:0070979
A1A4R8	PGA_scaffold296690__1_contigs__length_8726:7491-8660	GO:0005680; GO:0007080; GO:0030071; GO:0051301; GO:0070979
A1A4R8	PGA_scaffold296691__1_contigs__length_8742:7505-8676	GO:0005680; GO:0007080; GO:0030071; GO:0051301; GO:0070979
A1A4R8	PGA_scaffold296692__1_contigs__length_8726:66-1235	GO:0005680; GO:0007080; GO:0030071; GO:0051301; GO:0070979
A1A4R8	PGA_scaffold296693__1_contigs__length_8742:66-1237	GO:0005680; GO:0007080; GO:0030071; GO:0051301; GO:0070979
A1A5G0	PGA_scaffold105160__1_contigs__length_7316:1152-5368	GO:0000777; GO:0005794; GO:0005815; GO:0005828; GO:0005881; GO:0007020; GO:0007049; GO:0031023; GO:0034453; GO:0043515; GO:0051010; GO:0051301
A1A5G0	PGA_scaffold105163__1_contigs__length_7316:1948-6164	GO:0000777; GO:0005794; GO:0005815; GO:0005828; GO:0005881; GO:0007020; GO:0007049; GO:0031023; GO:0034453; GO:0043515; GO:0051010; GO:0051301
A1A5G0	PGA_scaffold116551__1_contigs__length_7316:1152-5368	GO:0000777; GO:0005794; GO:0005815; GO:0005828; GO:0005881; GO:0007020; GO:0007049; GO:0031023; GO:0034453; GO:0043515; GO:0051010; GO:0051301
A1A5G0	PGA_scaffold116554__1_contigs__length_7316:1948-6164	GO:0000777; GO:0005794; GO:0005815; GO:0005828; GO:0005881; GO:0007020; GO:0007049; GO:0031023; GO:0034453; GO:0043515; GO:0051010; GO:0051301
A1ADJ6	PGA_scaffold18__69_contigs__length_27737463:10336975-10337230	GO:0050208; GO:0070207
A1ADJ6	PGA_scaffold18__69_contigs__length_27737463:3765175-3765596	GO:0050208; GO:0070207
A1BDF1	PGA_scaffold283002__1_contigs__length_2688:862-1674	GO:0003743; GO:0003924; GO:0005525; GO:0005737
A1BDF1	PGA_scaffold283003__1_contigs__length_2688:1014-1826	GO:0003743; GO:0003924; GO:0005525; GO:0005737
A1BDF1	PGA_scaffold286746__1_contigs__length_2688:862-1674	GO:0003743; GO:0003924; GO:0005525; GO:0005737
A1BDF1	PGA_scaffold286747__1_contigs__length_2688:1014-1826	GO:0003743; GO:0003924; GO:0005525; GO:0005737
A1BDF1	PGA_scaffold31108__1_contigs__length_1136:0-665	GO:0003743; GO:0003924; GO:0005525; GO:0005737
A1BDF1	PGA_scaffold4__129_contigs__length_65288255:35038671-35039112	GO:0003743; GO:0003924; GO:0005525; GO:0005737
A1BDF1	PGA_scaffold7292__1_contigs__length_2608:540-1321	GO:0003743; GO:0003924; GO:0005525; GO:0005737
A1DWM3	PGA_scaffold39626__1_contigs__length_3225:1390-2419	GO:0016021
A1E2V0	PGA_scaffold89003__1_contigs__length_10045:9351-9468	GO:0004842; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0031398; GO:0034121; GO:0043027; GO:0046872; GO:0060546; GO:1990001
A1E2V0	PGA_scaffold89004__1_contigs__length_10045:577-694	GO:0004842; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0031398; GO:0034121; GO:0043027; GO:0046872; GO:0060546; GO:1990001
A1L0Y2	PGA_scaffold6__104_contigs__length_61759565:21670570-21674985	GO:0005814
A1L112	PGA_scaffold78672__1_contigs__length_16523:2643-13458	GO:0005730; GO:0005737; GO:0006364; GO:0042273
A1L112	PGA_scaffold78673__1_contigs__length_16523:3065-13880	GO:0005730; GO:0005737; GO:0006364; GO:0042273
A1L112	PGA_scaffold78674__1_contigs__length_17410:2643-13342	GO:0005730; GO:0005737; GO:0006364; GO:0042273
A1L112	PGA_scaffold78675__1_contigs__length_17410:4068-14767	GO:0005730; GO:0005737; GO:0006364; GO:0042273
A1L1C5	PGA_scaffold6__104_contigs__length_61759565:15637108-15639460	GO:0005777; GO:0006144; GO:0016831; GO:0019428; GO:0019628
A1L1R5	PGA_scaffold230430__1_contigs__length_3493:1292-2345	GO:0004725; GO:0005634; GO:0005737; GO:0008138; GO:0060271
A1L1R5	PGA_scaffold230431__1_contigs__length_3480:1288-2333	GO:0004725; GO:0005634; GO:0005737; GO:0008138; GO:0060271
A1L1R5	PGA_scaffold230433__1_contigs__length_3493:1148-2201	GO:0004725; GO:0005634; GO:0005737; GO:0008138; GO:0060271
A1L1R5	PGA_scaffold230434__1_contigs__length_3480:1147-2192	GO:0004725; GO:0005634; GO:0005737; GO:0008138; GO:0060271
A1L1R5	PGA_scaffold250858__1_contigs__length_3493:1292-2345	GO:0004725; GO:0005634; GO:0005737; GO:0008138; GO:0060271
A1L1R5	PGA_scaffold250859__1_contigs__length_3480:1288-2333	GO:0004725; GO:0005634; GO:0005737; GO:0008138; GO:0060271
A1L1R5	PGA_scaffold250861__1_contigs__length_3493:1148-2201	GO:0004725; GO:0005634; GO:0005737; GO:0008138; GO:0060271
