1	2-4719
1	19808-36739
1	49248-52578
1	55792-67546
1	67586-69113
1	70713-81099
1	183686-186073
1	187328-188353
1	189849-190460
1	191069-191410
1	191836-192282
1	192526-193324
1	194601-195002
1	195061-196757
1	196813-197325
1	197831-198256
1	198658-198945
1	199108-207581
1	207756-208058
1	208188-210053
1	225369-238796
1	295582-296213
1	311069-315793
1	326245-329049
1	343914-344213
1	344343-344645
1	344820-379444
1	402378-436712
1	480810-495581
1	503707-557915
1	563507-564382
1	571666-599482
1	610746-611273
1	612875-639118
1	651708-652814
1	664411-665104
1	668292-668636
1	691023-698310
1	717161-743048
1	772210-774393
1	781010-783193
1	812355-819404
1	838769-839182
1	868194-911401
1	912369-922837
1	936602-978401
1	1017150-1018252
1	1018280-1021447
1	1042400-1066675
1	1071310-1071795
1	1094769-1105337
1	1105662-1112517
1	1119467-1128894
1	1129780-1201223
1	1207653-1208228
1	1209438-1218258
1	1234081-1236648
1	1271727-1273334
1	1336335-1346264
1	1347939-1362339
1	1362473-1362805
1	1363737-1364009
1	1364058-1364549
1	1364574-1364801
1	1365222-1368097
1	1373196-1385142
1	1389639-1400328
1	1402133-1405997
1	1408223-1411348
1	1419037-1419480
1	1419795-1420178
1	1420774-1424799
1	1424920-1428363
1	1428782-1429477
1	1436447-1448680
1	1448744-1455770
1	1533006-1537764
1	1542680-1545183
1	1558681-1570002
1	1578826-1579798
1	1590253-1596669
1	1600971-1604356
1	1698522-1699625
1	1731735-1734670
1	1752562-1753387
1	1757122-1785762
1	1788447-1802950
1	1811502-1815627
1	1816902-1818659
1	1831135-1831596
1	1840209-1856918
1	1860046-1864547
1	1866428-1870555
1	1873410-1873874
1	1873971-1892032
1	1948723-1963472
1	1970367-1991359
1	2015518-2047143
1	2054038-2055057
1	2058418-2067040
1	2071632-2079843
1	2087620-2116638
1	2129680-2143865
1	2152425-2166737
1	2172493-2175806
1	2182708-2183085
1	2183111-2184127
1	2184093-2211336
1	2216842-2217063
1	2220616-2222059
1	2230331-2230681
1	2230744-2237266
1	2244406-2252299
1	2257307-2316262
1	2329867-2330799
1	2332632-2333325
1	2366888-2417042
1	2421491-2424493
1	2496997-2532777
1	2543753-2574931
1	2577228-2600155
1	2602068-2613333
1	2608118-2608462
1	2608860-2609144
1	2610179-2610481
1	2623830-2629857
1	2649074-2649781
1	2658794-2675442
1	2675965-2676771
1	2680968-2690580
1	2708387-2715800
1	2749387-2754762
1	2776080-2783518
1	2787417-2787668
1	2794647-2838542
1	2844428-2852597
1	2852743-2868293
1	2878758-2888130
1	2888353-2905488
1	2921976-2926097
1	2961919-2993436
1	3007503-3009654
1	3015853-3020987
1	3021809-3023329
1	3029248-3030768
1	3036425-3075067
1	3088535-3112660
1	3120104-3151510
1	3185022-3185805
1	3186149-3189920
1	3189991-3191931
1	3194169-3208775
1	3208910-3209976
1	3211276-3226468
1	3241404-3243113
1	3250326-3263843
1	3272606-3274076
1	3299070-3299474
1	3313644-3322635
1	3339747-3341462
1	3341637-3342098
1	3348636-3368451
1	3381741-3386453
1	3398865-3406292
1	3408026-3408436
1	3421229-3430343
1	3442458-3468503
1	3470994-3473527
1	3481019-3530305
1	3530653-3562178
1	3549016-3549950
1	3578879-3584684
1	3585240-3594053
1	3599291-3603918
1	3622826-3623443
1	3640127-3640720
1	3653853-3659176
1	3684779-3689770
1	3695307-3702382
1	3708096-3713528
1	3719116-3720027
1	3725754-3743747
1	3770648-3771127
1	3781338-3781808
1	3791937-3792386
1	3795132-3796060
1	3862382-3870889
1	3876762-3887904
1	3888367-3912024
1	3937971-3949536
1	3955686-3956024
1	3956825-3992262
1	3993048-3995339
1	4016042-4056415
1	4057581-4060051
1	4060276-4100419
1	4085015-4087783
1	4088727-4092907
1	4109720-4172563
1	4271489-4271980
1	4297967-4302603
