"index"	"chr"	"start"	"end"	"strand"	"pvalue"	"qvalue"	"meth.diff"
"115"	"PGA_scaffold10__49_contigs__length_53961475"	261706	261706	"+"	1.09274299373773e-09	3.37808097080771e-06	-71.5542521994135
"475"	"PGA_scaffold10__49_contigs__length_53961475"	1236119	1236119	"+"	1.91059566753358e-06	0.000985560612777156	-51.3513513513513
"775"	"PGA_scaffold10__49_contigs__length_53961475"	2613426	2613426	"+"	7.67887526806267e-10	2.62535820977787e-06	-62.8571428571429
"1031"	"PGA_scaffold10__49_contigs__length_53961475"	3301177	3301177	"+"	2.17316651428051e-09	5.86213630749873e-06	-58.0645161290322
"2712"	"PGA_scaffold10__49_contigs__length_53961475"	7798111	7798111	"+"	5.11811260050121e-09	1.05976823465444e-05	50.4492362982929
"2922"	"PGA_scaffold10__49_contigs__length_53961475"	8367654	8367654	"+"	5.71354934589029e-12	5.59982085759725e-08	59.5744680851064
"3243"	"PGA_scaffold10__49_contigs__length_53961475"	8870235	8870235	"+"	5.4845711900029e-09	1.12770640352462e-05	51.063829787234
"3365"	"PGA_scaffold10__49_contigs__length_53961475"	9186549	9186549	"+"	8.44287485703399e-08	9.77340827550816e-05	57.0689655172414
"5687"	"PGA_scaffold10__49_contigs__length_53961475"	14101011	14101011	"+"	1.84380886079312e-06	0.000957830964115216	55.8823529411765
"7156"	"PGA_scaffold10__49_contigs__length_53961475"	19020158	19020158	"+"	2.22793420758346e-05	0.00566185064302399	51.5325670498084
"7493"	"PGA_scaffold10__49_contigs__length_53961475"	20614923	20614923	"+"	1.86449288232424e-08	2.88168239826742e-05	54.9019607843137
"7665"	"PGA_scaffold10__49_contigs__length_53961475"	21079068	21079068	"+"	1.52531262852425e-08	2.50550481053209e-05	-50.4118050789293
"8131"	"PGA_scaffold10__49_contigs__length_53961475"	22529982	22529982	"+"	3.08916270143783e-09	7.50662668226626e-06	54.8162859980139
"8244"	"PGA_scaffold10__49_contigs__length_53961475"	22803697	22803697	"+"	2.3920443077525e-07	0.000205651802192664	55.0505050505051
"8532"	"PGA_scaffold10__49_contigs__length_53961475"	24010574	24010574	"+"	2.97413698000859e-10	1.22921425467144e-06	-61.7588932806324
"8597"	"PGA_scaffold10__49_contigs__length_53961475"	24175797	24175797	"+"	1.05229503610083e-05	0.00332335891598612	-55.6451612903226
"9105"	"PGA_scaffold10__49_contigs__length_53961475"	25469553	25469553	"+"	8.05562865953842e-10	2.71169865232168e-06	68.3154121863799
"9143"	"PGA_scaffold10__49_contigs__length_53961475"	25539794	25539794	"+"	1.1660423885955e-05	0.00357507483616103	50.2607561929596
"9230"	"PGA_scaffold10__49_contigs__length_53961475"	25780753	25780753	"+"	1.01181210314775e-07	0.000110185770236997	54.1904761904762
"9743"	"PGA_scaffold10__49_contigs__length_53961475"	27506492	27506492	"+"	5.54786452656285e-12	5.59982085759725e-08	52.2798742138365
"10755"	"PGA_scaffold10__49_contigs__length_53961475"	30763576	30763576	"+"	2.10637777630083e-07	0.000185986506331608	-52.2727272727273
"12987"	"PGA_scaffold10__49_contigs__length_53961475"	42080101	42080101	"+"	1.56269510944385e-06	0.000847634845593217	56.8103448275862
"13872"	"PGA_scaffold10__49_contigs__length_53961475"	44795897	44795897	"+"	1.13255262392241e-10	5.94647735755504e-07	58.0645161290322
"15414"	"PGA_scaffold10__49_contigs__length_53961475"	49430415	49430415	"+"	5.84252313920499e-08	7.31007755877727e-05	59.6515679442509
"15446"	"PGA_scaffold10__49_contigs__length_53961475"	49495608	49495608	"+"	9.86924575325402e-18	9.67279791808875e-13	74.1421568627451
"17738"	"PGA_scaffold11__79_contigs__length_51449921"	10908521	10908521	"+"	2.83646267075048e-06	0.00132802678568479	-53.8655462184874
"19269"	"PGA_scaffold11__79_contigs__length_51449921"	14397082	14397082	"+"	1.09157887228145e-10	5.83555058017332e-07	-58.4918032786885
"28561"	"PGA_scaffold11__79_contigs__length_51449921"	40306381	40306381	"+"	7.0505856131191e-07	0.000472529984347463	58.0213903743316
"29450"	"PGA_scaffold11__79_contigs__length_51449921"	45837166	45837166	"+"	1.37464355409347e-07	0.000134685920646468	50.9230769230769
"31104"	"PGA_scaffold11__79_contigs__length_51449921"	49612618	49612618	"+"	4.34367389174168e-10	1.65865435462952e-06	59.1918456497998
"31105"	"PGA_scaffold11__79_contigs__length_51449921"	49612640	49612640	"+"	5.80481095769294e-11	3.63144632068583e-07	57.3529411764706
"31107"	"PGA_scaffold11__79_contigs__length_51449921"	49612673	49612673	"+"	2.70630961072779e-07	0.000225419862428665	54.7008547008547
"31721"	"PGA_scaffold12__71_contigs__length_50438331"	291908	291908	"+"	2.07531415741414e-14	7.62751846611362e-10	-63.4941329856584
"32690"	"PGA_scaffold12__71_contigs__length_50438331"	2966449	2966449	"+"	3.34038320609371e-07	0.000265450760243529	-56.5548780487805
"34508"	"PGA_scaffold12__71_contigs__length_50438331"	9232922	9232922	"+"	4.61793022561789e-10	1.73759870108014e-06	59.3434343434343
"39926"	"PGA_scaffold12__71_contigs__length_50438331"	25140012	25140012	"+"	5.19288069603275e-08	6.75599488076751e-05	54.8738248391885
"39984"	"PGA_scaffold12__71_contigs__length_50438331"	25297564	25297564	"+"	2.89757953793225e-09	7.28180274586489e-06	-51.4285714285714
"40263"	"PGA_scaffold12__71_contigs__length_50438331"	26445379	26445379	"+"	1.00293400656485e-08	1.7872191900199e-05	54.4444444444444
"40340"	"PGA_scaffold12__71_contigs__length_50438331"	26692675	26692675	"+"	3.75290529908664e-09	8.75762745135156e-06	62.9861111111111
"40789"	"PGA_scaffold12__71_contigs__length_50438331"	27950245	27950245	"+"	5.93845243718593e-10	2.1037038222296e-06	-55.7109557109557
"44148"	"PGA_scaffold12__71_contigs__length_50438331"	36618680	36618680	"+"	1.26240329313365e-08	2.15803795085945e-05	60.8058608058608
"44530"	"PGA_scaffold12__71_contigs__length_50438331"	37732519	37732519	"+"	1.08907127095469e-07	0.000115602157289105	-55.7309941520468
"46994"	"PGA_scaffold12__71_contigs__length_50438331"	44420996	44420996	"+"	3.5215565423164e-05	0.00781552558906321	51.9230769230769
"47068"	"PGA_scaffold12__71_contigs__length_50438331"	44783201	44783201	"+"	1.20351758131208e-08	2.08931921361938e-05	54.1467304625199
"50902"	"PGA_scaffold13__52_contigs__length_44396874"	8924645	8924645	"+"	3.08545965491634e-05	0.00711539629330339	-51.6129032258064
"56581"	"PGA_scaffold13__52_contigs__length_44396874"	27540047	27540047	"+"	1.95694072924335e-07	0.000176501937901139	-59.3543653705062
"57404"	"PGA_scaffold13__52_contigs__length_44396874"	29490069	29490069	"+"	1.55955149066433e-08	2.50575170406137e-05	-58.3208395802099
"58931"	"PGA_scaffold13__52_contigs__length_44396874"	34680439	34680439	"+"	3.86476394944762e-10	1.50007245610269e-06	66.1518661518661
"59614"	"PGA_scaffold13__52_contigs__length_44396874"	37077440	37077440	"+"	2.3066247093765e-09	6.16557607647318e-06	-64.1025641025641
"59949"	"PGA_scaffold13__52_contigs__length_44396874"	37953709	37953709	"+"	1.9622886435325e-08	2.98947542328108e-05	-63.7362637362637
"62421"	"PGA_scaffold14__91_contigs__length_45393038"	666899	666899	"+"	2.72944196851483e-07	0.000225862606425404	-57.5757575757576
"62423"	"PGA_scaffold14__91_contigs__length_45393038"	691505	691505	"+"	3.20663239593186e-06	0.00144717011130057	-51.2820512820513
"62616"	"PGA_scaffold14__91_contigs__length_45393038"	930323	930323	"+"	2.52386782568039e-07	0.000213893161315302	54.7727272727273
"62923"	"PGA_scaffold14__91_contigs__length_45393038"	1464274	1464274	"+"	1.05882975732689e-05	0.0033332559877871	-54.4534412955466
"63196"	"PGA_scaffold14__91_contigs__length_45393038"	1850695	1850695	"+"	1.30548019574188e-08	2.21466202527185e-05	-50.0654621628699
"63802"	"PGA_scaffold14__91_contigs__length_45393038"	3289543	3289543	"+"	3.4912098717821e-11	2.44408368782896e-07	63.8888888888889
"63804"	"PGA_scaffold14__91_contigs__length_45393038"	3289562	3289562	"+"	5.40929686918171e-10	1.96356464511253e-06	53.125
"63863"	"PGA_scaffold14__91_contigs__length_45393038"	3377776	3377776	"+"	3.76998807912472e-07	0.00029094065165404	51.9607843137255
"64855"	"PGA_scaffold14__91_contigs__length_45393038"	5560370	5560370	"+"	1.10293998679976e-09	3.37808097080771e-06	58.7301587301587
"65341"	"PGA_scaffold14__91_contigs__length_45393038"	6426068	6426068	"+"	3.9166790181239e-06	0.00167327403940971	53.3333333333333
"65345"	"PGA_scaffold14__91_contigs__length_45393038"	6431116	6431116	"+"	6.89133205880848e-06	0.00252964784499282	51.9153225806452
"65396"	"PGA_scaffold14__91_contigs__length_45393038"	6532492	6532492	"+"	1.76787840683681e-08	2.79465919009989e-05	50.556586270872
"65791"	"PGA_scaffold14__91_contigs__length_45393038"	7707813	7707813	"+"	2.00022881045881e-09	5.54834194801408e-06	-66.3194444444444
"66049"	"PGA_scaffold14__91_contigs__length_45393038"	8429264	8429264	"+"	5.62646296443453e-08	7.1307775021069e-05	56.929347826087
"69471"	"PGA_scaffold14__91_contigs__length_45393038"	15705730	15705730	"+"	1.74579463993854e-19	2.56656676418867e-14	-90.0932400932401
"71707"	"PGA_scaffold14__91_contigs__length_45393038"	20255901	20255901	"+"	6.29546623771277e-06	0.00237923701708159	50.4166666666667
"73387"	"PGA_scaffold14__91_contigs__length_45393038"	23959766	23959766	"+"	4.73273400753043e-11	3.1626332032388e-07	-67.3544973544974
"74106"	"PGA_scaffold14__91_contigs__length_45393038"	25847589	25847589	"+"	2.63268860548427e-10	1.13836094374766e-06	-76.7857142857143
"74334"	"PGA_scaffold14__91_contigs__length_45393038"	26465919	26465919	"+"	8.11586270382188e-10	2.71169865232168e-06	-54.5454545454545
"74350"	"PGA_scaffold14__91_contigs__length_45393038"	26490241	26490241	"+"	3.04430695581393e-13	5.96741974421115e-09	-60.4166666666667
"76243"	"PGA_scaffold14__91_contigs__length_45393038"	30074211	30074211	"+"	4.82891886229248e-07	0.000352317542564796	51.1446886446886
"76711"	"PGA_scaffold14__91_contigs__length_45393038"	31099430	31099430	"+"	1.35163550275208e-07	0.000133024180246521	61.1111111111111
"78286"	"PGA_scaffold14__91_contigs__length_45393038"	34736882	34736882	"+"	6.62307915809739e-06	0.00247128671305451	50.1231527093596
"79671"	"PGA_scaffold14__91_contigs__length_45393038"	38284605	38284605	"+"	4.03495149004561e-09	9.26867713324413e-06	-55.75256107171
"79831"	"PGA_scaffold14__91_contigs__length_45393038"	38642663	38642663	"+"	1.81538006014194e-07	0.000167853285694241	-55.5555555555556
"80144"	"PGA_scaffold14__91_contigs__length_45393038"	39529674	39529674	"+"	9.44201671783541e-09	1.724361409602e-05	-54.2857142857143
"81965"	"PGA_scaffold14__91_contigs__length_45393038"	43731861	43731861	"+"	2.85285886593154e-07	0.000234307756937547	-52.3809523809524
"82080"	"PGA_scaffold14__91_contigs__length_45393038"	44389094	44389094	"+"	4.03912889347102e-11	2.76190453175587e-07	-58.2383995554321
"85364"	"PGA_scaffold15__101_contigs__length_47938513"	13648872	13648872	"+"	5.00262727101485e-09	1.05065351197015e-05	58.656330749354
"85988"	"PGA_scaffold15__101_contigs__length_47938513"	15388476	15388476	"+"	7.0621135250932e-07	0.000472529984347463	-50.2926829268293
"89217"	"PGA_scaffold15__101_contigs__length_47938513"	22422867	22422867	"+"	1.99608721926063e-05	0.00524961091864605	50.0818330605565
"90986"	"PGA_scaffold15__101_contigs__length_47938513"	28252634	28252634	"+"	9.99538660145299e-08	0.000109661506638062	-53.8636363636364
