PGA_scaffold1__77_contigs__length_89643857	89643857
PGA_scaffold2__36_contigs__length_69596280	69596280
PGA_scaffold3__111_contigs__length_57743597	57743597
PGA_scaffold4__129_contigs__length_65288255	5288255
PGA_scaffold5__109_contigs__length_67248332	67248332
PGA_scaffold6__104_contigs__length_61759565	61759565
PGA_scaffold7__69_contigs__length_43120122	43120122
PGA_scaffold8__63_contigs__length_61151155	61151155
PGA_scaffold9__45_contigs__length_38581958	38581958
PGA_scaffold10__49_contigs__length_53961475	53961475
PGA_scaffold11__79_contigs__length_51449921	51449921
PGA_scaffold12__71_contigs__length_50438331	50438331
PGA_scaffold13__52_contigs__length_44396874	44396874
PGA_scaffold14__91_contigs__length_45393038	45393038
PGA_scaffold15__101_contigs__length_47938513	47938513
PGA_scaffold16__33_contigs__length_31980953	31980953
PGA_scaffold17__51_contigs__length_34923512	34923512
PGA_scaffold18__69_contigs__length_27737463	27737463
