Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs
B7QDG3	NNRE_IXOSC	reviewed	NAD(P)H-hydrate epimerase (EC 5.1.99.6) (NAD(P)HX epimerase)	ISCW022186	Ixodes scapularis (Black-legged tick) (Deer tick)	275		mitochondrion [GO:0005739]	mitochondrion [GO:0005739]; metal ion binding [GO:0046872]; NADHX epimerase activity [GO:0052856]; NADPHX epimerase activity [GO:0052857]; nucleotide binding [GO:0000166]	NADHX epimerase activity [GO:0052856]; NADPHX epimerase activity [GO:0052857]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	GO:0000166; GO:0005739; GO:0046872; GO:0052856; GO:0052857
F7FIH8	NNRE_MONDO	reviewed	NAD(P)H-hydrate epimerase (EC 5.1.99.6) (Apolipoprotein A-I-binding protein) (AI-BP) (NAD(P)HX epimerase)	NAXE AIBP APOA1BP	Monodelphis domestica (Gray short-tailed opossum)	284	nicotinamide nucleotide metabolic process [GO:0046496]; protein homotetramerization [GO:0051289]	cell body [GO:0044297]; cilium [GO:0005929]; cytosol [GO:0005829]; extracellular space [GO:0005615]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]	cell body [GO:0044297]; cilium [GO:0005929]; cytosol [GO:0005829]; extracellular space [GO:0005615]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; metal ion binding [GO:0046872]; NADHX epimerase activity [GO:0052856]; NADPHX epimerase activity [GO:0052857]; nucleotide binding [GO:0000166]; protein homodimerization activity [GO:0042803]; nicotinamide nucleotide metabolic process [GO:0046496]; protein homotetramerization [GO:0051289]	NADHX epimerase activity [GO:0052856]; NADPHX epimerase activity [GO:0052857]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; protein homodimerization activity [GO:0042803]	GO:0000166; GO:0005615; GO:0005654; GO:0005739; GO:0005829; GO:0005929; GO:0042803; GO:0044297; GO:0046496; GO:0046872; GO:0051289; GO:0052856; GO:0052857
O75339	CILP1_HUMAN	reviewed	Cartilage intermediate layer protein 1 (CILP-1) (Cartilage intermediate-layer protein) [Cleaved into: Cartilage intermediate layer protein 1 C1; Cartilage intermediate layer protein 1 C2]	CILP UNQ602/PRO1188	Homo sapiens (Human)	1184	cellular response to transforming growth factor beta stimulus [GO:0071560]; dephosphorylation [GO:0016311]; negative regulation of SMAD protein signal transduction [GO:0060392]; negative regulation of gene expression [GO:0010629]; negative regulation of insulin-like growth factor receptor signaling pathway [GO:0043569]	collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]	collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; cellular response to transforming growth factor beta stimulus [GO:0071560]; dephosphorylation [GO:0016311]; negative regulation of gene expression [GO:0010629]; negative regulation of insulin-like growth factor receptor signaling pathway [GO:0043569]; negative regulation of SMAD protein signal transduction [GO:0060392]		GO:0005615; GO:0010629; GO:0016311; GO:0043569; GO:0060392; GO:0062023; GO:0070062; GO:0071560
Q7YRK5	COX7C_TARSY	reviewed	Cytochrome c oxidase subunit 7C, mitochondrial (Cytochrome c oxidase polypeptide VIIc)	COX7C	Tarsius syrichta (Philippine tarsier)	63		integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; cytochrome-c oxidase activity [GO:0004129]	cytochrome-c oxidase activity [GO:0004129]	GO:0004129; GO:0005743; GO:0016021
Q60520	SIN3A_MOUSE	reviewed	Paired amphipathic helix protein Sin3a (Histone deacetylase complex subunit Sin3a) (Transcriptional corepressor Sin3a)	Sin3a Kiaa4126	Mus musculus (Mouse)	1274	DNA replication [GO:0006260]; activation of innate immune response [GO:0002218]; aging [GO:0007568]; cellular protein localization [GO:0034613]; cellular response to dopamine [GO:1903351]; cellular response to glucose stimulus [GO:0071333]; cerebral cortex neuron differentiation [GO:0021895]; hematopoietic progenitor cell differentiation [GO:0002244]; histone deacetylation [GO:0016575]; in utero embryonic development [GO:0001701]; negative regulation of apoptotic process [GO:0043066]; negative regulation of circadian rhythm [GO:0042754]; negative regulation of histone H3-K27 acetylation [GO:1901675]; negative regulation of protein localization to nucleus [GO:1900181]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription regulatory region DNA binding [GO:2000678]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of chromatin silencing [GO:0031937]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein deacetylation [GO:0006476]; regulation of axon extension [GO:0030516]; regulation of hormone levels [GO:0010817]; regulation of transcription from RNA polymerase II promoter in response to oxidative stress [GO:0043619]; regulation of transcription, DNA-templated [GO:0006355]; response to methylglyoxal [GO:0051595]; response to organonitrogen compound [GO:0010243]; rhythmic process [GO:0048511]	Sin3 complex [GO:0016580]; chromatin [GO:0000785]; kinetochore [GO:0000776]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; transcription factor complex [GO:0005667]; transcriptional repressor complex [GO:0017053]	chromatin [GO:0000785]; kinetochore [GO:0000776]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; Sin3 complex [GO:0016580]; transcription factor complex [GO:0005667]; transcriptional repressor complex [GO:0017053]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; protein deacetylase activity [GO:0033558]; protein-containing complex binding [GO:0044877]; RNA binding [GO:0003723]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II repressing transcription factor binding [GO:0001103]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; activation of innate immune response [GO:0002218]; aging [GO:0007568]; cellular protein localization [GO:0034613]; cellular response to dopamine [GO:1903351]; cellular response to glucose stimulus [GO:0071333]; cerebral cortex neuron differentiation [GO:0021895]; DNA replication [GO:0006260]; hematopoietic progenitor cell differentiation [GO:0002244]; histone deacetylation [GO:0016575]; in utero embryonic development [GO:0001701]; negative regulation of apoptotic process [GO:0043066]; negative regulation of circadian rhythm [GO:0042754]; negative regulation of histone H3-K27 acetylation [GO:1901675]; negative regulation of protein localization to nucleus [GO:1900181]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription regulatory region DNA binding [GO:2000678]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of chromatin silencing [GO:0031937]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein deacetylation [GO:0006476]; regulation of axon extension [GO:0030516]; regulation of hormone levels [GO:0010817]; regulation of transcription from RNA polymerase II promoter in response to oxidative stress [GO:0043619]; regulation of transcription, DNA-templated [GO:0006355]; response to methylglyoxal [GO:0051595]; response to organonitrogen compound [GO:0010243]; rhythmic process [GO:0048511]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; RNA binding [GO:0003723]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II repressing transcription factor binding [GO:0001103]; chromatin binding [GO:0003682]; protein deacetylase activity [GO:0033558]; protein-containing complex binding [GO:0044877]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	GO:0000122; GO:0000776; GO:0000785; GO:0000976; GO:0001102; GO:0001103; GO:0001701; GO:0002218; GO:0002230; GO:0002244; GO:0003677; GO:0003682; GO:0003700; GO:0003714; GO:0003723; GO:0005634; GO:0005654; GO:0005667; GO:0005730; GO:0006260; GO:0006355; GO:0006476; GO:0007568; GO:0008134; GO:0010243; GO:0010817; GO:0010971; GO:0016575; GO:0016580; GO:0017053; GO:0021895; GO:0030516; GO:0031937; GO:0032991; GO:0033558; GO:0034613; GO:0042754; GO:0043066; GO:0043619; GO:0044877; GO:0045666; GO:0045892; GO:0045944; GO:0048511; GO:0051595; GO:0071333; GO:1900181; GO:1901675; GO:1903351; GO:2000678
Q15796	SMAD2_HUMAN	reviewed	Mothers against decapentaplegic homolog 2 (MAD homolog 2) (Mothers against DPP homolog 2) (JV18-1) (Mad-related protein 2) (hMAD-2) (SMAD family member 2) (SMAD 2) (Smad2) (hSMAD2)	SMAD2 MADH2 MADR2	Homo sapiens (Human)	467	SMAD protein complex assembly [GO:0007183]; SMAD protein signal transduction [GO:0060395]; activin receptor signaling pathway [GO:0032924]; adrenal gland development [GO:0030325]; anterior/posterior pattern specification [GO:0009952]; cell fate commitment [GO:0045165]; common-partner SMAD protein phosphorylation [GO:0007182]; embryonic cranial skeleton morphogenesis [GO:0048701]; embryonic foregut morphogenesis [GO:0048617]; endoderm formation [GO:0001706]; gastrulation [GO:0007369]; in utero embryonic development [GO:0001701]; insulin secretion [GO:0030073]; intracellular signal transduction [GO:0035556]; lung development [GO:0030324]; mesoderm formation [GO:0001707]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; nodal signaling pathway [GO:0038092]; organ growth [GO:0035265]; pancreas development [GO:0031016]; paraxial mesoderm morphogenesis [GO:0048340]; pericardium development [GO:0060039]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry [GO:1900224]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; post-embryonic development [GO:0009791]; primary miRNA processing [GO:0031053]; protein deubiquitination [GO:0016579]; regulation of binding [GO:0051098]; regulation of transforming growth factor beta receptor signaling pathway [GO:0017015]; response to cholesterol [GO:0070723]; response to glucose [GO:0009749]; secondary palate development [GO:0062009]; signal transduction involved in regulation of gene expression [GO:0023019]; somatic stem cell population maintenance [GO:0035019]; transforming growth factor beta receptor signaling pathway [GO:0007179]; ureteric bud development [GO:0001657]; wound healing [GO:0042060]; zygotic specification of dorsal/ventral axis [GO:0007352]	SMAD protein complex [GO:0071141]; activin responsive factor complex [GO:0032444]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; heteromeric SMAD protein complex [GO:0071144]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; transcription factor complex [GO:0005667]	activin responsive factor complex [GO:0032444]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; heteromeric SMAD protein complex [GO:0071144]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; SMAD protein complex [GO:0071141]; transcription factor complex [GO:0005667]; activating transcription factor binding [GO:0033613]; chromatin binding [GO:0003682]; co-SMAD binding [GO:0070410]; disordered domain specific binding [GO:0097718]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; double-stranded DNA binding [GO:0003690]; enhancer binding [GO:0035326]; I-SMAD binding [GO:0070411]; metal ion binding [GO:0046872]; phosphatase binding [GO:0019902]; primary miRNA binding [GO:0070878]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; R-SMAD binding [GO:0070412]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; SMAD binding [GO:0046332]; tau protein binding [GO:0048156]; transcription factor binding [GO:0008134]; transforming growth factor beta receptor binding [GO:0005160]; transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity [GO:0030618]; type I transforming growth factor beta receptor binding [GO:0034713]; ubiquitin protein ligase binding [GO:0031625]; activin receptor signaling pathway [GO:0032924]; adrenal gland development [GO:0030325]; anterior/posterior pattern specification [GO:0009952]; cell fate commitment [GO:0045165]; common-partner SMAD protein phosphorylation [GO:0007182]; embryonic cranial skeleton morphogenesis [GO:0048701]; embryonic foregut morphogenesis [GO:0048617]; endoderm formation [GO:0001706]; gastrulation [GO:0007369]; in utero embryonic development [GO:0001701]; insulin secretion [GO:0030073]; intracellular signal transduction [GO:0035556]; lung development [GO:0030324]; mesoderm formation [GO:0001707]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; nodal signaling pathway [GO:0038092]; organ growth [GO:0035265]; pancreas development [GO:0031016]; paraxial mesoderm morphogenesis [GO:0048340]; pericardium development [GO:0060039]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry [GO:1900224]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; post-embryonic development [GO:0009791]; primary miRNA processing [GO:0031053]; protein deubiquitination [GO:0016579]; regulation of binding [GO:0051098]; regulation of transforming growth factor beta receptor signaling pathway [GO:0017015]; response to cholesterol [GO:0070723]; response to glucose [GO:0009749]; secondary palate development [GO:0062009]; signal transduction involved in regulation of gene expression [GO:0023019]; SMAD protein complex assembly [GO:0007183]; SMAD protein signal transduction [GO:0060395]; somatic stem cell population maintenance [GO:0035019]; transforming growth factor beta receptor signaling pathway [GO:0007179]; ureteric bud development [GO:0001657]; wound healing [GO:0042060]; zygotic specification of dorsal/ventral axis [GO:0007352]	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; I-SMAD binding [GO:0070411]; R-SMAD binding [GO:0070412]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; SMAD binding [GO:0046332]; activating transcription factor binding [GO:0033613]; chromatin binding [GO:0003682]; co-SMAD binding [GO:0070410]; disordered domain specific binding [GO:0097718]; double-stranded DNA binding [GO:0003690]; enhancer binding [GO:0035326]; metal ion binding [GO:0046872]; phosphatase binding [GO:0019902]; primary miRNA binding [GO:0070878]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; tau protein binding [GO:0048156]; transcription factor binding [GO:0008134]; transforming growth factor beta receptor binding [GO:0005160]; transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity [GO:0030618]; type I transforming growth factor beta receptor binding [GO:0034713]; ubiquitin protein ligase binding [GO:0031625]	GO:0000122; GO:0000790; GO:0000978; GO:0000981; GO:0001228; GO:0001657; GO:0001701; GO:0001706; GO:0001707; GO:0003682; GO:0003690; GO:0003700; GO:0005160; GO:0005634; GO:0005654; GO:0005667; GO:0005737; GO:0005829; GO:0007179; GO:0007182; GO:0007183; GO:0007352; GO:0007369; GO:0008134; GO:0008285; GO:0009749; GO:0009791; GO:0009952; GO:0010718; GO:0016579; GO:0017015; GO:0019902; GO:0023019; GO:0030073; GO:0030324; GO:0030325; GO:0030512; GO:0030513; GO:0030618; GO:0031016; GO:0031053; GO:0031625; GO:0032444; GO:0032924; GO:0032991; GO:0033613; GO:0034713; GO:0035019; GO:0035265; GO:0035326; GO:0035556; GO:0038092; GO:0042060; GO:0042803; GO:0045165; GO:0045892; GO:0045893; GO:0045944; GO:0046332; GO:0046872; GO:0046982; GO:0048156; GO:0048340; GO:0048617; GO:0048701; GO:0051098; GO:0060039; GO:0060395; GO:0062009; GO:0070410; GO:0070411; GO:0070412; GO:0070723; GO:0070878; GO:0071141; GO:0071144; GO:0097718; GO:1900224
Q8TF20	ZN721_HUMAN	reviewed	Zinc finger protein 721	ZNF721 KIAA1982	Homo sapiens (Human)	911	regulation of transcription by RNA polymerase II [GO:0006357]	nucleus [GO:0005634]	nucleus [GO:0005634]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; regulation of transcription by RNA polymerase II [GO:0006357]	DNA binding [GO:0003677]; metal ion binding [GO:0046872]	GO:0003677; GO:0005634; GO:0006357; GO:0046872
O70436	SMAD2_RAT	reviewed	Mothers against decapentaplegic homolog 2 (MAD homolog 2) (Mothers against DPP homolog 2) (Mad-related protein 2) (SMAD family member 2) (SMAD 2) (Smad2)	Smad2 Madh2	Rattus norvegicus (Rat)	467	SMAD protein complex assembly [GO:0007183]; SMAD protein signal transduction [GO:0060395]; adrenal gland development [GO:0030325]; anterior/posterior pattern specification [GO:0009952]; cell fate commitment [GO:0045165]; common-partner SMAD protein phosphorylation [GO:0007182]; embryonic cranial skeleton morphogenesis [GO:0048701]; embryonic foregut morphogenesis [GO:0048617]; endoderm formation [GO:0001706]; in utero embryonic development [GO:0001701]; insulin secretion [GO:0030073]; intracellular signal transduction [GO:0035556]; lung development [GO:0030324]; mesoderm formation [GO:0001707]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of transcription, DNA-templated [GO:0045892]; nodal signaling pathway [GO:0038092]; organ growth [GO:0035265]; pancreas development [GO:0031016]; paraxial mesoderm morphogenesis [GO:0048340]; pericardium development [GO:0060039]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry [GO:1900224]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; post-embryonic development [GO:0009791]; regulation of binding [GO:0051098]; regulation of transforming growth factor beta receptor signaling pathway [GO:0017015]; response to cholesterol [GO:0070723]; response to glucose [GO:0009749]; secondary palate development [GO:0062009]; signal transduction involved in regulation of gene expression [GO:0023019]; transforming growth factor beta receptor signaling pathway [GO:0007179]; ureteric bud development [GO:0001657]; wound healing [GO:0042060]; zygotic specification of dorsal/ventral axis [GO:0007352]	activin responsive factor complex [GO:0032444]; cytoplasm [GO:0005737]; heteromeric SMAD protein complex [GO:0071144]; nuclear chromatin [GO:0000790]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; transcription factor complex [GO:0005667]	activin responsive factor complex [GO:0032444]; cytoplasm [GO:0005737]; heteromeric SMAD protein complex [GO:0071144]; nuclear chromatin [GO:0000790]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; transcription factor complex [GO:0005667]; activating transcription factor binding [GO:0033613]; chromatin binding [GO:0003682]; co-SMAD binding [GO:0070410]; disordered domain specific binding [GO:0097718]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; double-stranded DNA binding [GO:0003690]; I-SMAD binding [GO:0070411]; metal ion binding [GO:0046872]; phosphatase binding [GO:0019902]; primary miRNA binding [GO:0070878]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; R-SMAD binding [GO:0070412]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; tau protein binding [GO:0048156]; transcription factor binding [GO:0008134]; transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity [GO:0030618]; type I transforming growth factor beta receptor binding [GO:0034713]; ubiquitin protein ligase binding [GO:0031625]; adrenal gland development [GO:0030325]; anterior/posterior pattern specification [GO:0009952]; cell fate commitment [GO:0045165]; common-partner SMAD protein phosphorylation [GO:0007182]; embryonic cranial skeleton morphogenesis [GO:0048701]; embryonic foregut morphogenesis [GO:0048617]; endoderm formation [GO:0001706]; in utero embryonic development [GO:0001701]; insulin secretion [GO:0030073]; intracellular signal transduction [GO:0035556]; lung development [GO:0030324]; mesoderm formation [GO:0001707]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of transcription, DNA-templated [GO:0045892]; nodal signaling pathway [GO:0038092]; organ growth [GO:0035265]; pancreas development [GO:0031016]; paraxial mesoderm morphogenesis [GO:0048340]; pericardium development [GO:0060039]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry [GO:1900224]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; post-embryonic development [GO:0009791]; regulation of binding [GO:0051098]; regulation of transforming growth factor beta receptor signaling pathway [GO:0017015]; response to cholesterol [GO:0070723]; response to glucose [GO:0009749]; secondary palate development [GO:0062009]; signal transduction involved in regulation of gene expression [GO:0023019]; SMAD protein complex assembly [GO:0007183]; SMAD protein signal transduction [GO:0060395]; transforming growth factor beta receptor signaling pathway [GO:0007179]; ureteric bud development [GO:0001657]; wound healing [GO:0042060]; zygotic specification of dorsal/ventral axis [GO:0007352]	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; I-SMAD binding [GO:0070411]; R-SMAD binding [GO:0070412]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; activating transcription factor binding [GO:0033613]; chromatin binding [GO:0003682]; co-SMAD binding [GO:0070410]; disordered domain specific binding [GO:0097718]; double-stranded DNA binding [GO:0003690]; metal ion binding [GO:0046872]; phosphatase binding [GO:0019902]; primary miRNA binding [GO:0070878]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; tau protein binding [GO:0048156]; transcription factor binding [GO:0008134]; transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity [GO:0030618]; type I transforming growth factor beta receptor binding [GO:0034713]; ubiquitin protein ligase binding [GO:0031625]	GO:0000790; GO:0000978; GO:0001228; GO:0001657; GO:0001701; GO:0001706; GO:0001707; GO:0003682; GO:0003690; GO:0005634; GO:0005667; GO:0005737; GO:0007179; GO:0007182; GO:0007183; GO:0007352; GO:0008134; GO:0008285; GO:0009749; GO:0009791; GO:0009952; GO:0010718; GO:0017015; GO:0019902; GO:0023019; GO:0030073; GO:0030324; GO:0030325; GO:0030513; GO:0030618; GO:0031016; GO:0031625; GO:0032444; GO:0032991; GO:0033613; GO:0034713; GO:0035265; GO:0035556; GO:0038092; GO:0042060; GO:0042803; GO:0045165; GO:0045892; GO:0045893; GO:0045944; GO:0046872; GO:0046982; GO:0048156; GO:0048340; GO:0048617; GO:0048701; GO:0051098; GO:0060039; GO:0060395; GO:0062009; GO:0070410; GO:0070411; GO:0070412; GO:0070723; GO:0070878; GO:0071144; GO:0097718; GO:1900224
P0C8G6	PV21_POMCA	reviewed	Perivitellin-2 67 kDa subunit (PcPV2 67 kDa subunit) (PcPV2-67) (PV2 MACPF subunit)		Pomacea canaliculata (Golden apple snail)	565			nutrient reservoir activity [GO:0045735]; toxin activity [GO:0090729]	nutrient reservoir activity [GO:0045735]; toxin activity [GO:0090729]	GO:0045735; GO:0090729
Q93075	TATD2_HUMAN	reviewed	Putative deoxyribonuclease TATDN2 (EC 3.1.21.-)	TATDN2 KIAA0218	Homo sapiens (Human)	761	IRE1-mediated unfolded protein response [GO:0036498]	cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]; metal ion binding [GO:0046872]; IRE1-mediated unfolded protein response [GO:0036498]	endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]; metal ion binding [GO:0046872]	GO:0005634; GO:0005654; GO:0005829; GO:0016607; GO:0016888; GO:0036498; GO:0046872
