00050	sp|P11369|LORF2_MOUSE	27.094	203	143	3	1331	726	637	835	9.04e-21	60.5
00050	sp|P11369|LORF2_MOUSE	33.333	114	71	2	1832	1503	461	573	9.04e-21	54.7
00050	sp|P11369|LORF2_MOUSE	38.235	34	21	0	1429	1328	607	640	9.04e-21	28.1
00083	sp|Q95SX7|RTBS_DROME	30.503	318	200	6	1084	1995	476	786	2.11e-26	119
00095	sp|P34456|YMD2_CAEEL	25.602	332	225	8	1015	59	5	327	3.26e-22	103
00163	sp|Q5SWK7|RN145_MOUSE	41.561	551	300	5	1999	386	64	605	3.09e-133	409
00610	sp|Q9NBX4|RTXE_DROME	30.100	299	199	5	1088	1963	478	773	3.80e-31	134
00696	sp|Q96MR6|CFA57_HUMAN	66.129	124	42	0	1892	1521	781	904	4.97e-32	137
00697	sp|Q96MR6|CFA57_HUMAN	71.296	108	31	0	1385	1062	643	750	2.28e-41	166
00698	sp|Q96MR6|CFA57_HUMAN	62.832	113	42	0	636	298	476	588	5.25e-41	164
00699	sp|Q96MR6|CFA57_HUMAN	56.627	83	36	0	1745	1497	156	238	2.73e-25	115
00700	sp|Q96MR6|CFA57_HUMAN	56.522	161	65	3	505	32	1	159	1.91e-51	196
00766	sp|Q8MJ08|PE2R4_BOVIN	38.222	225	137	2	1114	1785	7	230	1.25e-43	167
00908	sp|P18172|DHGL_DROPS	33.787	367	227	8	1996	923	245	604	5.08e-55	201
00909	sp|P18172|DHGL_DROPS	41.436	181	100	5	536	3	65	242	7.20e-26	116
00944	sp|Q92889|XPF_HUMAN	84.211	57	9	0	369	539	713	769	1.13e-22	107
00985	sp|P28288|ABCD3_HUMAN	90.741	54	5	0	1562	1401	581	634	3.06e-24	111
01118	sp|Q0EEE2|PTHD3_MOUSE	28.286	350	244	4	28	1065	558	904	1.11e-42	169
01169	sp|P14381|YTX2_XENLA	26.735	389	275	8	676	1833	500	881	3.24e-41	131
01169	sp|P14381|YTX2_XENLA	30.435	92	62	1	282	557	370	459	3.24e-41	43.1
01169	sp|P14381|YTX2_XENLA	45.946	37	20	0	572	682	465	501	3.24e-41	38.5
01411	sp|Q9U943|APLP_LOCMI	41.096	146	81	2	450	13	568	708	8.26e-26	117
01511	sp|O54750|CP2J6_MOUSE	28.000	450	289	13	4	1326	78	501	1.17e-38	153
01515	sp|Q4V8D1|CP2U1_RAT	37.438	203	120	2	19	627	293	488	4.60e-33	137
