#
# Output is generated by GenSAS 7.x-5.0
#
#name     : mRNA
#start    : Start of alignment in subject
#end      : End of alignment in subject
#m_start  : Start of alignment in query
#m_end    : End of alignment in query
#al       : Alignment length
#score    : Row score of the match
#evalue   : E value of the match
#identity : Percentage of identical matches
mame	start	end	score	Accession	match_desc	m_start	m_end	E-value	identity	al
19763-Caligus.00g000020.m01	151	249	131	XP_023336430.1	cysteine-rich with EGF-like domain protein 2 [Eurytemora affinis]	11	112	8.19904e-08	38.83	103
19763-Caligus.00g000050.m01	85	218	374	XP_014772885.1	PREDICTED: uncharacterized protein LOC106871098 [Octopus bimaculoides]	99	237	3.35699e-42	50.00	140
19763-Caligus.00g000060.m01	8	64	139	XP_019886946.1	PREDICTED: uncharacterized protein LOC109610920 [Ooceraea biroi]	2	58	1.34198e-09	50.88	57
19763-Caligus.00g000070.m01	223	351	177	XP_017793474.1	PREDICTED: uncharacterized protein LOC108575239 [Habropoda laboriosa]	16	144	1.22986e-13	33.33	135
19763-Caligus.00g000090.m01	20	295	517	XP_014775258.1	PREDICTED: uncharacterized protein LOC106872695 [Octopus bimaculoides]	2	276	1.92457e-61	41.58	279
19763-Caligus.00g000100.m01	153	238	168	XP_025997123.1	uncharacterized protein LOC113005585, partial [Solenopsis invicta]	1	86	4.53197e-13	47.67	86
19763-Caligus.00g000120.m01	768	815	116	XP_014773562.1	PREDICTED: angiopoietin-1 receptor-like [Octopus bimaculoides]	1	49	8.82174e-07	51.02	49
19763-Caligus.00g000140.m01	99	190	270	XP_014775258.1	PREDICTED: uncharacterized protein LOC106872695 [Octopus bimaculoides]	1	92	1.05457e-27	57.61	92
19763-Caligus.00g000150.m01	346	411	267	XP_009017580.1	hypothetical protein HELRODRAFT_172670 [Helobdella robusta]	1	66	1.84698e-27	69.70	66
19763-Caligus.00g000170.m01	18	100	172	XP_017482690.1	PREDICTED: uncharacterized protein LOC108371609 isoform X1 [Rhagoletis zephyria]	1	82	4.58316e-14	42.17	83
19763-Caligus.00g000210.m01	1	199	478	XP_023325617.1	isochorismatase domain-containing protein 2A-like [Eurytemora affinis]	1	196	9.5217e-59	45.00	200
19763-Caligus.00g000230.m01	237	438	712	XP_023330481.1	F-box/LRR-repeat protein 16-like [Eurytemora affinis]	19	213	7.15603e-89	66.02	206
19763-Caligus.00g000260.m01	306	365	188	XP_023324728.1	phospholipase D alpha 1-like [Eurytemora affinis]	1	54	1.70976e-16	63.93	61
19763-Caligus.00g000280.m01	169	231	129	XP_014759738.1	uncharacterized protein Dana_GF26712 [Drosophila ananassae]	1	63	1.91379e-08	39.68	63
19763-Caligus.00g000290.m01	78	716	890	XP_018006743.1	PREDICTED: uncharacterized protein LOC108664630 [Hyalella azteca]	60	738	1.46841e-106	32.71	700
19763-Caligus.00g000350.m01	174	317	279	XP_024499870.1	Sodium/sulphate symporter family-containing protein [Strongyloides ratti]	1	132	2.66328e-27	40.28	144
19763-Caligus.00g000390.m01	8	61	136	XP_019886946.1	PREDICTED: uncharacterized protein LOC109610920 [Ooceraea biroi]	2	55	1.62973e-09	51.85	54
19763-Caligus.00g000410.m01	167	369	417	XP_011707025.1	PREDICTED: uncharacterized protein LOC105462195 [Wasmannia auropunctata]	1	207	2.46746e-47	42.65	211
19763-Caligus.00g000440.m01	124	245	228	XP_018344906.1	PREDICTED: uncharacterized protein LOC108750144 [Trachymyrmex septentrionalis]	1	120	7.12091e-22	38.52	122
19763-Caligus.00g000470.m01	280	371	322	XP_023343484.1	protein spartin-like [Eurytemora affinis]	10	101	8.85982e-35	67.39	92
19763-Caligus.00g000480.m01	22	510	456	XP_015761190.1	PREDICTED: RNA-directed DNA polymerase from mobile element jockey-like [Acropora digitifera]	58	528	3.5981e-46	28.23	503
19763-Caligus.00g000510.m01	671	830	214	XP_020812025.1	chaoptin [Drosophila serrata]	1	170	5.59953e-18	36.63	172
19763-Caligus.00g000520.m01	61	123	139	XP_014787787.1	PREDICTED: uncharacterized protein LOC106881793 [Octopus bimaculoides]	1	64	5.23349e-10	43.75	64
19763-Caligus.00g000530.m01	51	156	288	XP_003106343.1	hypothetical protein CRE_15908 [Caenorhabditis remanei]	18	123	4.81823e-31	54.21	107
