"chr"	"start"	"end"	"strand"	"pvalue"	"qvalue"	"meth.diff"
"1122"	"NC_035780.1"	571139	571139	"+"	9.537633295453e-30	1.43925512598875e-27	58.2278481012658
"2157"	"NC_035780.1"	1882692	1882692	"+"	1.54857474241667e-28	2.11264306966616e-26	64.8148148148148
"2176"	"NC_035780.1"	1885023	1885023	"+"	1.56214555549646e-14	5.04719716123383e-13	61.2143987341772
"2282"	"NC_035780.1"	1933500	1933500	"+"	1.26044543179399e-19	7.30900822219151e-18	51.324937688574
"2569"	"NC_035780.1"	1958999	1958999	"+"	1.28313154413808e-119	3.68969069444656e-115	50.1707069734689
"3021"	"NC_035780.1"	2538925	2538925	"+"	7.04346175157579e-15	2.37472040072699e-13	-50.2505846976278
"3025"	"NC_035780.1"	2541727	2541727	"+"	3.59921004770553e-41	1.32500126318781e-38	-54.9736072708992
"3316"	"NC_035780.1"	2584493	2584493	"+"	3.12717630109529e-57	3.47342346480226e-54	56.4664786447676
"3337"	"NC_035780.1"	2586509	2586509	"+"	6.66191639817937e-71	1.55323614454225e-67	-53.8495091547371
"3346"	"NC_035780.1"	2588795	2588795	"+"	1.27417519999374e-115	2.9977661505275e-111	-53.3420013393748
"4426"	"NC_035780.1"	4286803	4286803	"+"	3.85745583569328e-16	1.51395619135299e-14	-62.0490797546012
"4434"	"NC_035780.1"	4288214	4288214	"+"	1.03297953561797e-29	1.54796333184637e-27	-58.168449197861
"4451"	"NC_035780.1"	4289629	4289629	"+"	2.28939540201561e-25	2.34093820626381e-23	-52.2097927746195
"6385"	"NC_035780.1"	8693288	8693288	"+"	8.98883317830873e-22	6.54004511216877e-20	-52.283522104494
"6497"	"NC_035780.1"	8833125	8833125	"+"	1.87756815984505e-15	6.81024950061597e-14	60.1254480286738
"7589"	"NC_035780.1"	12631454	12631454	"+"	7.95429303615801e-18	3.79440730736752e-16	60.2577873254565
"8899"	"NC_035780.1"	15414935	15414935	"+"	4.46713127041768e-19	2.44312263570878e-17	51.580544137796
"9193"	"NC_035780.1"	15534532	15534532	"+"	1.17216690208308e-58	1.43770004932148e-55	54.2977406375735
"9958"	"NC_035780.1"	17093219	17093219	"+"	1.26074972979324e-14	4.1217760072971e-13	-52.9967159277504
"10166"	"NC_035780.1"	17488959	17488959	"+"	5.71400122627172e-26	6.19251825433301e-24	-57.0731707317073
"11460"	"NC_035780.1"	19149581	19149581	"+"	1.95455199452061e-26	2.2011948712917e-24	-61.0240190685735
"11648"	"NC_035780.1"	19482569	19482569	"+"	1.39169778758904e-76	4.44652979381043e-73	56.7761299435028
"12525"	"NC_035780.1"	19968153	19968153	"+"	5.91304462135748e-20	3.54725413984235e-18	-60.0470430107527
"13961"	"NC_035780.1"	21941411	21941411	"+"	2.79203844253044e-149	7.22574585302981e-144	-63.8394796618795
"14385"	"NC_035780.1"	22177829	22177829	"+"	6.80803459919686e-29	9.51867774770141e-27	-51.8586936690385
"15900"	"NC_035780.1"	24227053	24227053	"+"	9.17964490545048e-39	2.83832232038455e-36	79.8387096774193
"16132"	"NC_035780.1"	24258095	24258095	"+"	9.57483535031815e-29	1.32227874425444e-26	-50.2401798176446
"17413"	"NC_035780.1"	25858298	25858298	"+"	1.62846067324196e-27	2.01937099757462e-25	-51.3262093311707
"19217"	"NC_035780.1"	26637855	26637855	"+"	2.24631477067468e-76	7.08953986831862e-73	-52.2310038824182
"20152"	"NC_035780.1"	27396183	27396183	"+"	2.448830698055e-28	3.29222353859656e-26	52.6108743502084
"20273"	"NC_035780.1"	27482717	27482717	"+"	1.14723968836811e-26	1.31781443325541e-24	52.0311149524633
"21296"	"NC_035780.1"	28493520	28493520	"+"	7.65928992823901e-45	3.72251734471566e-42	-53.830352943435
"21580"	"NC_035780.1"	28739473	28739473	"+"	1.57380923660051e-111	3.39415860457605e-107	69.5166914846549
"22930"	"NC_035780.1"	30150624	30150624	"+"	1.1484927536279e-17	5.36581209859559e-16	-55.3937259923175
